Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
196,ChatGPT,79,45,124,API log
197,GPT-4,44,10,54,API log
198,ChatGPT,12,20,32,Conversation log
199,GPT-4,75,38,113,API log
200,ChatGPT,55,45,100,API log
201,GPT-4,68,13,81,Conversation log
202,ChatGPT,24,47,71,API log
203,GPT-4,48,45,93,API log
204,ChatGPT,89,13,102,Conversation log
205,GPT-4,88,25,113,API log
206,ChatGPT,38,35,73,API log
207,GPT-4,66,15,81,Conversation log
208,ChatGPT,17,11,28,API log
209,GPT-4,82,8,90,API log
210,ChatGPT,34,23,57,Conversation log
211,GPT-4,40,24,64,API log
212,ChatGPT,96,36,132,API log
213,GPT-4,58,18,76,Conversation log
214,ChatGPT,88,24,112,API log
215,GPT-4,27,31,58,API log
216,ChatGPT,78,37,115,Conversation log
217,GPT-4,99,24,123,API log
218,ChatGPT,16,9,25,API log
219,GPT-4,31,1,32,Conversation log
220,ChatGPT,23,25,48,API log
221,GPT-4,33,41,74,API log
222,ChatGPT,37,28,65,Conversation log
223,GPT-4,16,2,18,API log
224,ChatGPT,90,5,95,API log
225,GPT-4,33,41,74,Conversation log
226,ChatGPT,92,15,107,API log
227,GPT-4,78,40,118,API log
228,ChatGPT,25,8,33,Conversation log
229,GPT-4,72,46,118,API log
230,ChatGPT,79,8,87,API log
231,GPT-4,21,33,54,Conversation log
232,ChatGPT,21,22,43,API log
233,GPT-4,43,8,51,API log
234,ChatGPT,16,16,32,Conversation log
235,GPT-4,47,22,69,API log
236,ChatGPT,53,11,64,API log
237,GPT-4,69,21,90,Conversation log
238,ChatGPT,61,6,67,API log
239,GPT-4,51,31,82,API log
240,ChatGPT,29,47,76,Conversation log
241,GPT-4,62,19,81,API log
242,ChatGPT,50,22,72,API log
243,GPT-4,85,33,118,Conversation log
244,ChatGPT,72,46,118,API log
245,GPT-4,75,10,85,API log
246,ChatGPT,61,7,68,Conversation log
247,GPT-4,42,17,59,API log
248,ChatGPT,35,47,82,API log
249,GPT-4,50,27,77,Conversation log
